Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Vatten Kolsyrat Hallon Rabarber 33cl Loka,"8,90 kr","0.33L 26,97 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-hallon-rabarber-33cl-loka/2125524
"Vatten Kolsyrat Ananas 1,5l Ramlösa","18,90 kr","1.5L 12,60 kr/l exkl pant",,,,,,,,,2 mg,16 mg,3.5 mg,2.3 mg,0.8 mg,210 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-ananas-1-5l-raml%C3%B6sa/2089693
Night time te Ekologisk 20-p Pukka,"49,90 kr","20 per frp 2,50 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/night-time-te-ekologisk-20-p-pukka/1465429
"Energidryck Strawberry Lemonade 35,5cl Celsius","27,90 kr","0.355L 78,59 kr/l exkl pant",4 kcal,17 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,14 mg,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-strawberry-lemonade-35-5cl-celsius/2110665
Lightdryck Crispy Pear 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-crispy-pear-1l-fun-light/2126497
Snabbkaffe Lyx Mellanrost 100g Nescafé,"85,00 kr","50 per frp 1,70 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-lyx-mellanrost-100g-nescaf%C3%A9/2012631
Fruktdryck Blåbär 1l Proviva,"42,90 kr","1L 42,90 kr/l",45 kcal,194 kJ,0.1 g,0 g,10.7 g,8.7 g,0.2 g,0.03 g,,,,,,,,,35 mg,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-bl%C3%A5b%C3%A4r-1l-proviva/2038974
Espresso Hela bönor Ekologisk 500g ICA I love eco,"122,00 kr","0.5kg 244,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/espresso-hela-b%C3%B6nor-ekologisk-500g-ica-i-love-eco/2021778
"Energidryck Kiwi Guava 35,5cl Celsius","27,90 kr","0.355L 78,59 kr/l exkl pant",16 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,14 mg,,,,1.7 µg,0.6 mg,17 mg,0.5 mg,5.6 mg,2.8 mg,85 µg,14 µg,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-kiwi-guava-35-5cl-celsius/2105004
Granatäppeldryck Drickfärdig 1l Fontana,"30,90 kr","1L 30,90 kr/l",52 kcal,220 kJ,0.5 g,0 g,11.1 g,10.8 g,0.5 g,0.01 g,,,,,,,,,,,,,,,0.5 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/granat%C3%A4ppeldryck-drickf%C3%A4rdig-1l-fontana/1329358
Vatten Stilla 125cl Aquadór,"18,90 kr","1.25L 15,12 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-stilla-125cl-aquad%C3%B3r/2037202
Iskaffe Tripleshot Espresso 300ml Starbucks®,"30,90 kr","0.3L 103,00 kr/l",71 kcal,299 kJ,2.6 g,1.7 g,9 g,8.5 g,2.8 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-tripleshot-espresso-300ml-starbucks/2080502
Protein Coffee Latte 330ml Starbucks®,"32,90 kr","0.33L 99,70 kr/l",51 kcal,215 kJ,1.1 g,0.7 g,4.1 g,3.8 g,6.1 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-coffee-latte-330ml-starbucks/2151756
Energidryck Blood Orange Del Sol 330ml Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",4 kcal,,0 g,0 g,0 g,0 g,0.9 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-blood-orange-del-sol-330ml-nocco/2078474
Kolsyrad Fruktdryck Crush Skogsbär 50cl Loka,"17,90 kr","0.5L 35,80 kr/l exkl pant",19 kcal,80 kJ,0 g,0 g,4.7 g,4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrad-fruktdryck-crush-skogsb%C3%A4r-50cl-loka/2156055
Bryggkaffe Lätt Mörkrost 450g Gevalia,"95,00 kr","0.45kg 211,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-l%C3%A4tt-m%C3%B6rkrost-450g-gevalia/2002415
Fruktdryck Fruit Crush Äpple Hallon 1000ml God Morgon®,"29,90 kr","1L 29,90 kr/l",30 kcal,126 kJ,0 g,0 g,7.3 g,6.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-%C3%A4pple-hallon-1000ml-god-morgon/2141507
Läsk Lemon 33cl Fanta Zero,"13,90 kr","3.33L 4,17 kr/l",2 kcal,9 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-lemon-33cl-fanta-zero/2126282
Chokladdryck Original Refill 700g O'boy,"49,90 kr","0.7kg 71,29 kr/kg",379 kcal,1605 kJ,2.6 g,1.2 g,82 g,80 g,3.9 g,0.48 g,,,,,,,,,,,,,,,5.7 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladdryck-original-refill-700g-o-boy/1354730
Bryggkaffe Fikastund 450g Zoegas,"104,00 kr","0.45kg 231,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-fikastund-450g-zoegas/2151446
"Bryggkaffe, Brazil, Mörkrost, 450g Lindvalls","78,00 kr","0.45kg 173,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-brazil-m%C3%B6rkrost-450g-lindvalls/2022076
Awake Hallon 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",17 kcal,71 kJ,0 g,0 g,4.2 g,4.2 g,0 g,0.025 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,0 g,40 µg,1.5 µg,1.4 mg,5 µg,0.9 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/awake-hallon-50cl-vitamin-well/1526745
Läsk Geléhallon Zero 33cl Trocadero,"10,90 kr","0.33L 33,03 kr/l exkl pant",2 kcal,8 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-gel%C3%A9hallon-zero-33cl-trocadero/2126283
Läsk Lemon Lime 33cl Sprite zero,"13,90 kr","0.33L 42,12 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0 g,0.03 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-lemon-lime-33cl-sprite-zero/2078553
Cider Lemon Spritz Alkoholfri 33cl Somersby,"16,90 kr","0.33L 51,21 kr/l",51 kcal,215 kJ,0 g,0 g,12.2 g,12.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-lemon-spritz-alkoholfri-33cl-somersby/2094242
Icetea Citron & lime 2l Pfanner,"31,90 kr","2L 15,95 kr/l",26 kcal,110 kJ,0.5 g,0.1 g,6.3 g,6.3 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/icetea-citron-lime-2l-pfanner/1445576
Läsk Sockerdricka 150cl ICA,"19,90 kr","1.5L 13,27 kr/l exkl pant",30 kcal,120 kJ,0.5 g,0.5 g,6.5 g,6.4 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-sockerdricka-150cl-ica/1467267
Energidryck Norrsken 33cl Latitude 65,"24,90 kr","0.33L 75,45 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,0.4 mg,,,1.2 mg,,15.2 µg,,,151.5 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-norrsken-33cl-latitude-65/2110557
"Läsk 7-UP Free 1,5l","25,90 kr","1.5L 17,27 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0.1 g,0.05 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-7-up-free-1-5l/2073928
Iste Mango 50g Lipton,"13,90 kr","0.05kg 278,00 kr/kg",20 kcal,83 kJ,0.5 g,0.1 g,4.7 g,4.6 g,0.5 g,0.05 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iste-mango-50g-lipton/2139042
Juice Äpple utan fruktkött 1.75l ICA,"38,90 kr","1.75L 22,23 kr/l",43 kcal,183 kJ,0 g,0 g,10 g,9.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-utan-fruktk%C3%B6tt-1-75l-ica/2065066
Ingefärsshot 500ml Rynkeby,"56,00 kr","0.5L 112,00 kr/l",71 kcal,301 kJ,0.5 g,0 g,12 g,12 g,0.7 g,0 g,,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ingef%C3%A4rsshot-500ml-rynkeby/1521124
"Chokladmjölk Familjefavoriter 0,5% 1l Arla®","27,90 kr","1L 27,90 kr/l",57 kcal,243 kJ,0.5 g,0.4 g,9.5 g,9.4 g,3.6 g,0.11 g,,,118 mg,,,,0.46 µg,,,,,,,,0.4 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-familjefavoriter-0-5-1l-arla/2118787
Läsk Apelsin 33cl Zingo,"11,90 kr","0.33L 36,06 kr/l exkl pant",47 kcal,197 kJ,0 g,0 g,11 g,11 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-apelsin-33cl-zingo/2094041
Kolsyrat Vatten Ananas Passionsfrukt 150cl Loka,"15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-ananas-passionsfrukt-150cl-loka/2105000
Läsk Cola Vanilla Zero 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-vanilla-zero-50cl-coca-cola/2073921
Måltidsdryck Päron 2dl ICA,"8,90 kr","1L 8,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/m%C3%A5ltidsdryck-p%C3%A4ron-2dl-ica/1514880
Grönt Te Äppellund 17-Pack Arvid Nordquist,"39,90 kr","17 per frp 2,35 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-te-%C3%A4ppellund-17-pack-arvid-nordquist/2151464
"Tonic Water 1,5l Schweppes","31,90 kr","1.5L 21,27 kr/l exkl pant",37 kcal,159 kJ,0 g,0 g,8.9 g,8.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tonic-water-1-5l-schweppes/1360436
Bryggkaffe Peru Ekologisk 450g ICA I love eco,"87,00 kr","0.45kg 193,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-peru-ekologisk-450g-ica-i-love-eco/2021780
Läsk Apelsin 150cl ICA,"19,90 kr","1.5L 13,27 kr/l exkl pant",30 kcal,130 kJ,0 g,0 g,7.6 g,7.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-apelsin-150cl-ica/1467269
Fruktdryck Lingon Sockerfri 50cl MER,"16,90 kr","0.5L 33,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,0.4 g,0.4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-lingon-sockerfri-50cl-mer/2078560
Lightdryck Cloudy Apple Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-cloudy-apple-sockerfri-1l-fun-light/2079287
Iskaffe ICE Cappuccino Vanilj 230ml Löfbergs,"25,90 kr","0.23L 112,61 kr/l",72 kcal,303 kJ,3.2 g,2 g,9.2 g,8.1 g,1.6 g,0.24 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-ice-cappuccino-vanilj-230ml-l%C3%B6fbergs/2135115
Snabbkaffe Original Mellanrost Refill 200g Gevalia,"118,00 kr","0.2kg 590,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-original-mellanrost-refill-200g-gevalia/1527753
"Juice Äpple 1,75l God Morgon®","53,00 kr","1.75L 30,29 kr/l",43 kcal,183 kJ,0.5 g,0 g,10 g,9.7 g,0.5 g,0 g,,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-1-75l-god-morgon/1498942
Lightdryck Lemonade Sockerfri 1l Fun light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,3 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-lemonade-sockerfri-1l-fun-light/2037129
Reload Citron & lime 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",17 kcal,71 kJ,0 g,0 g,4.2 g,4.2 g,0 g,0.03 g,,,,,11.3 mg,,0.25 µg,,,,1.6 mg,0.48 mg,5 µg,,0 g,40 µg,1.5 µg,1.4 mg,5 µg,0.9 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/reload-citron-lime-50cl-vitamin-well/1387859
Kaffe Mellan Hela bönor 500g Arvid Nordquist,"118,00 kr","0.5kg 236,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-mellan-hela-b%C3%B6nor-500g-arvid-nordquist/1441006
Läsk Mixers Lemon 50cl Schweppes,"19,90 kr","0.5L 39,80 kr/l exkl pant",19 kcal,80 kJ,0 g,0 g,4.4 g,4.3 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-mixers-lemon-50cl-schweppes/2149408
Snabbkaffe Gold Koffeinfri 100g Nescafe,"103,00 kr","50 per frp 2,06 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-gold-koffeinfri-100g-nescafe/2075973
"Pärondryck med ciderkaraktär Light 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",7 kcal,29 kJ,0 g,0 g,1.7 g,1.7 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4rondryck-med-ciderkarakt%C3%A4r-light-1-5l-ica/1467260
Örtte Chai 20-p ICA,"17,90 kr","20 per frp 0,90 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6rtte-chai-20-p-ica/2011172
"Öl Alkoholfri 0,0% Carlsberg","16,90 kr","0.33L 51,21 kr/l",12 kcal,53 kJ,0 g,0 g,2.8 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-0-0-carlsberg/2110690
Läsk Cola Zero 33cl Coca-Cola,"13,90 kr","0.33L 42,12 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-33cl-coca-cola/2037186
Vatten Kolsyrat Jordgubb Granatäpple 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-jordgubb-granat%C3%A4pple-50cl-loka/2073914
Sportdryck Blue Raspberry 50cl Prime Hydration,"30,90 kr","0.5L 61,80 kr/l exkl pant",4 kcal,17 kJ,0 g,0 g,1 g,0.5 g,0 g,0.02 g,140 mg,,,,24.8 mg,,0.96 µg,0.68 mg,,,,,,,,,,3 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sportdryck-blue-raspberry-50cl-prime-hydration/2120531
Läsk Mixers Indian Tonic Zero 1.5l Schweppes,"31,90 kr","1.5L 21,27 kr/l exkl pant",2 kcal,8 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-mixers-indian-tonic-zero-1-5l-schweppes/2149412
Te Wild Apple & cinnamon Ekologisk 20-p Pukka,"49,90 kr","20 per frp 2,50 kr/st",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-wild-apple-cinnamon-ekologisk-20-p-pukka/2022004
"Öl Ljus lager 3,5% 330ml Peroni","26,90 kr","0.33L 81,52 kr/l",30 kcal,124 kJ,0 g,0 g,2.2 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-ljus-lager-3-5-330ml-peroni/2086474
Chokladmjölk Pucko® Original 270ml Cocio,"20,90 kr","0.27L 77,41 kr/l",67 kcal,283 kJ,1.6 g,1 g,9.5 g,9.4 g,3.5 g,0.14 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-pucko-original-270ml-cocio/1403356
Cider Smultron Alkoholfri 1l Herrljunga,"21,90 kr","1L 21,90 kr/l exkl pant",7 kcal,28 kJ,0.5 g,0.1 g,1.3 g,1.2 g,0.5 g,0.01 g,,,,,,0 g,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cider-smultron-alkoholfri-1l-herrljunga/2132420
Kokosvatten Natural 1l Vita Coco,"59,00 kr","1L 59,00 kr/l",13 kcal,56 kJ,0 g,0 g,3.3 g,2.2 g,0 g,0.06 g,196 mg,,,,,,,,6 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosvatten-natural-1l-vita-coco/1526729
"Öl Extra Brew 3,5% 50cl 6-p Falcon","91,00 kr","3L 30,33 kr/l exkl pant",31 kcal,130 kJ,0 g,0 g,2.8 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-extra-brew-3-5-50cl-6-p-falcon/1397713
Energidryck Focus Grand Sour 33cl Nocco,"26,90 kr","0.33L 81,52 kr/l exkl pant",1 kcal,5 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,0.76 µg,0.42 mg,,,3.9 mg,,15 µg,,0 g,30 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-focus-grand-sour-33cl-nocco/2125444
Flädercider 1l Herrljunga,"21,90 kr","1L 21,90 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fl%C3%A4dercider-1l-herrljunga/1329130
Grönt te Citron & ingefära 20-p Friggs,"27,90 kr","20 per frp 1,40 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6nt-te-citron-ingef%C3%A4ra-20-p-friggs/1295235
Svart te Ceylon 100-p ICA Basic,"22,90 kr","100 per frp 0,23 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svart-te-ceylon-100-p-ica-basic/1417850
Kaffefilter 1x4 oblekta 80-p ICA,"17,90 kr","80 per frp 0,22 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-1x4-oblekta-80-p-ica/2021775
Juice Tropisk 900ml Innocent,"47,90 kr","0.9L 53,22 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-900ml-innocent/2052854
Vatten Kolsyrad Mango & acai 50cl Bonaqua,"15,90 kr","0.5L 31,80 kr/l exkl pant",10 kcal,40 kJ,0 g,0 g,2.2 g,2.2 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-mango-acai-50cl-bonaqua/2078550
Te portion Rooibos te Mangostan 20 Styck ICA,"17,90 kr","20 per frp 0,90 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-portion-rooibos-te-mangostan-20-styck-ica/2162113
Svart Te Tea Collection 40st Lipton,"48,90 kr","40 per frp 1,22 kr/st",4 kcal,17 kJ,0 g,0 g,0.5 g,0.5 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svart-te-tea-collection-40st-lipton/2166215
Vatten Kolsyrad 50cl San Pellegrino,"16,90 kr","0.5L 33,80 kr/l exkl pant",,,,,,,,,2.5 mg,57.5 mg,181 mg,0.5 mg,53.5 mg,0.0361 g,,,,,,,,0.001 µg,,,,,1 µg,,0.05 mg,0.1 mg,0.02 mg,0.01 mg,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-50cl-san-pellegrino/1330708
Energidryck Absolutely zero 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",3 kcal,15 kJ,0 g,0 g,1.1 g,0 g,0 g,0.21 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-absolutely-zero-50cl-monster-energy/1463328
Kolsyrad Fruktdryck Crush Skogsbär 1.4l Loka,"28,90 kr","1.4L 20,64 kr/l exkl pant",19 kcal,80 kJ,0 g,0 g,4.7 g,4 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrad-fruktdryck-crush-skogsb%C3%A4r-1-4l-loka/2156054
Shot Ingefära Kallpressad 500ml ICA Selection,"78,00 kr","0.5L 156,00 kr/l exkl pant",36 kcal,155 kJ,0 g,0 g,8.6 g,7.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ingef%C3%A4ra-kallpressad-500ml-ica-selection/2127586
"Fruktdryck Crush Päron 1,4l Loka","28,90 kr","1.4L 20,64 kr/l exkl pant",21 kcal,87 kJ,0.5 g,0 g,5 g,4 g,0.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-crush-p%C3%A4ron-1-4l-loka/1467613
Smoothie Äpple Banan Ananas 1000ml Bravo,"49,90 kr","1L 49,90 kr/l",54 kcal,228 kJ,0 g,0 g,12 g,12 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-%C3%A4pple-banan-ananas-1000ml-bravo/2141512
Lightdryck Ice Tea Mango mania Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-ice-tea-mango-mania-sockerfri-1l-fun-light/2105125
